부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,4,36,10,50,16,3,1,20,70
공산품,18,773,296,1087,166,138,457,761,1848
서비스,5,220,464,689,740,310,79,1129,1818
중간투입계,27,1029,770,1826,922,451,537,1910,3736
피용자보수,4,135,424,563,0,0,0,0,0
영업잉여,21,130,238,389,0,0,0,0,0
고정자본소모,5,89,145,239,0,0,0,0,0
생산세(보조금공제),0,49,63,112,0,0,0,0,0
조정항,3,-1,106,108,0,0,0,0,0
부가가치계,33,402,976,1411,0,0,0,0,0
총투입액,60,1431,1746,3237,0,0,0,0,0
