부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,0,8,1,9,3,0,0,3,12
공산품,1,328,76,405,53,53,2,108,513
서비스,0,16,46,62,29,7,0,36,98
중간투입계,1,352,123,476,85,60,2,147,623
