,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,4.129,28.995,8.603,41.728,13.952,2.595,0.83,17.377,59.105
공산품,16.764,510.283,235.219,762.267,128.412,83.677,456.483,668.571,1430.838
서비스,5.354,209.095,427.31,641.759,718.17,308.423,78.546,1105.139,1746.898
중간투입계,26.248,748.373,671.133,1445.754,860.534,394.695,535.859,1791.087,3236.841
