부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,3,39,12,54,17,2,1,20,74
공산품,18,926,351,1295,182,138,611,931,2226
서비스,7,262,575,844,856,350,106,1312,2156
중간투입계,28,1227,938,2193,1055,490,718,2263,4456
피용자보수,5,177,568,750,0,0,0,0,0
영업잉여,23,141,280,444,0,0,0,0,0
고정자본소모,5,115,190,310,0,0,0,0,0
생산세(보조금공제),1,53,82,136,0,0,0,0,0
부가가치계,34,486,1120,1640,0,0,0,0,0
총투입액,62,1713,2058,3833,0,0,0,0,0
