cons,old,new
KOR_HFCE,247,1
KOR_NPISH,248,1
KOR_GGFC,249,1
KOR_GFCF,250,1
KOR_INVNT,251,1
KOR_DPABR,252,1
LAO_HFCE,253,4
LAO_NPISH,254,4
LAO_GGFC,255,4
LAO_GFCF,256,4
LAO_INVNT,257,4
LAO_DPABR,258,4
LTU_HFCE,259,4
LTU_NPISH,260,4
LTU_GGFC,261,4
LTU_GFCF,262,4
LTU_INVNT,263,4
LTU_DPABR,264,4
LUX_HFCE,265,4
LUX_NPISH,266,4
LUX_GGFC,267,4
LUX_GFCF,268,4
LUX_INVNT,269,4
LUX_DPABR,270,4
LVA_HFCE,271,4
LVA_NPISH,272,4
LVA_GGFC,273,4
LVA_GFCF,274,4
LVA_INVNT,275,4
LVA_DPABR,276,4
MAR_HFCE,277,4
MAR_NPISH,278,4
MAR_GGFC,279,4
MAR_GFCF,280,4
MAR_INVNT,281,4
MAR_DPABR,282,4
MEX_HFCE,283,4
MEX_NPISH,284,4
MEX_GGFC,285,4
MEX_GFCF,286,4
MEX_INVNT,287,4
MEX_DPABR,288,4
MLT_HFCE,289,4
MLT_NPISH,290,4
MLT_GGFC,291,4
MLT_GFCF,292,4
MLT_INVNT,293,4
MLT_DPABR,294,4
MMR_HFCE,295,4
MMR_NPISH,296,4
MMR_GGFC,297,4
MMR_GFCF,298,4
MMR_INVNT,299,4
MMR_DPABR,300,4
MYS_HFCE,301,4
MYS_NPISH,302,4
MYS_GGFC,303,4
MYS_GFCF,304,4
MYS_INVNT,305,4
MYS_DPABR,306,4
NGA_HFCE,307,4
NGA_NPISH,308,4
NGA_GGFC,309,4
NGA_GFCF,310,4
NGA_INVNT,311,4
NGA_DPABR,312,4
NLD_HFCE,313,4
NLD_NPISH,314,4
NLD_GGFC,315,4
NLD_GFCF,316,4
NLD_INVNT,317,4
NLD_DPABR,318,4
NOR_HFCE,319,4
NOR_NPISH,320,4
NOR_GGFC,321,4
NOR_GFCF,322,4
NOR_INVNT,323,4
NOR_DPABR,324,4
NZL_HFCE,325,4
NZL_NPISH,326,4
NZL_GGFC,327,4
NZL_GFCF,328,4
NZL_INVNT,329,4
NZL_DPABR,330,4
PAK_HFCE,331,4
PAK_NPISH,332,4
PAK_GGFC,333,4
PAK_GFCF,334,4
PAK_INVNT,335,4
PAK_DPABR,336,4
PER_HFCE,337,4
PER_NPISH,338,4
PER_GGFC,339,4
PER_GFCF,340,4
PER_INVNT,341,4
PER_DPABR,342,4
PHL_HFCE,343,4
PHL_NPISH,344,4
PHL_GGFC,345,4
PHL_GFCF,346,4
PHL_INVNT,347,4
PHL_DPABR,348,4
POL_HFCE,349,4
POL_NPISH,350,4
POL_GGFC,351,4
POL_GFCF,352,4
POL_INVNT,353,4
POL_DPABR,354,4
PRT_HFCE,355,4
PRT_NPISH,356,4
PRT_GGFC,357,4
PRT_GFCF,358,4
PRT_INVNT,359,4
PRT_DPABR,360,4
ROU_HFCE,361,4
ROU_NPISH,362,4
ROU_GGFC,363,4
ROU_GFCF,364,4
ROU_INVNT,365,4
ROU_DPABR,366,4
RUS_HFCE,367,4
RUS_NPISH,368,4
RUS_GGFC,369,4
RUS_GFCF,370,4
