부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,0,7,1,8,2,0,0,2,10
공산품,1,263,61,325,38,54,0,92,417
서비스,0,11,37,48,22,2,0,24,72
중간투입계,1,281,99,381,62,56,0,118,499
