부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,3,31,11,45,14,2,1,17,62
공산품,17,598,275,890,129,85,609,823,1713
서비스,7,246,529,782,827,343,106,1276,2058
중간투입계,27,875,815,1717,970,430,716,2116,3833
