권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
강원권,강원,C02,섬유 및 가죽제품,공산품,499,5
강원권,강원,C03,"목재 및 종이, 인쇄",공산품,500,5
강원권,강원,C04,석탄 및 석유제품,공산품,501,5
강원권,강원,C05,화학제품,공산품,502,5
강원권,강원,C06,비금속광물제품,공산품,503,5
강원권,강원,C07,1차 금속제품,공산품,504,5
강원권,강원,C08,금속가공제품,공산품,505,5
강원권,강원,C09,"컴퓨터, 전자 및 광학기기",공산품,506,5
강원권,강원,C10,전기장비,공산품,507,5
강원권,강원,C11,기계 및 장비,공산품,508,5
강원권,강원,C12,운송장비,공산품,509,5
강원권,강원,C13,기타 제조업 제품,공산품,510,5
강원권,강원,C14,제조임가공 및 산업용 장비 수리,공산품,511,5
강원권,강원,D,"전력, 가스 및 증기",서비스,512,6
강원권,강원,E,"수도, 폐기물처리 및 재활용서비스",서비스,513,6
강원권,강원,F,건설,서비스,514,6
강원권,강원,G,도소매 및 상품중개서비스,서비스,515,6
강원권,강원,H,운송서비스,서비스,516,6
강원권,강원,I,음식점 및 숙박서비스,서비스,517,6
강원권,강원,J,정보통신 및 방송 서비스,서비스,518,6
강원권,강원,K,금융 및 보험 서비스,서비스,519,6
강원권,강원,L,부동산서비스,서비스,520,6
강원권,강원,M,"전문, 과학 및 기술 서비스",서비스,521,6
강원권,강원,N,사업지원서비스,서비스,522,6
강원권,강원,O,"공공행정, 국방 및 사회보장",서비스,523,6
강원권,강원,P,교육서비스,서비스,524,6
강원권,강원,Q,보건 및 사회복지 서비스,서비스,525,6
강원권,강원,R,"예술, 스포츠 및 여가 관련 서비스",서비스,526,6
강원권,강원,S,기타 서비스,서비스,527,6
강원권,강원,T,기타,서비스,528,6
제주권,제주,A,농림수산품,농산품,529,7
제주권,제주,B,광산품,공산품,530,8
제주권,제주,C01,음식료품,공산품,531,8
제주권,제주,C02,섬유 및 가죽제품,공산품,532,8
제주권,제주,C03,"목재 및 종이, 인쇄",공산품,533,8
제주권,제주,C04,석탄 및 석유제품,공산품,534,8
제주권,제주,C05,화학제품,공산품,535,8
제주권,제주,C06,비금속광물제품,공산품,536,8
제주권,제주,C07,1차 금속제품,공산품,537,8
제주권,제주,C08,금속가공제품,공산품,538,8
제주권,제주,C09,"컴퓨터, 전자 및 광학기기",공산품,539,8
제주권,제주,C10,전기장비,공산품,540,8
제주권,제주,C11,기계 및 장비,공산품,541,8
제주권,제주,C12,운송장비,공산품,542,8
제주권,제주,C13,기타 제조업 제품,공산품,543,8
제주권,제주,C14,제조임가공 및 산업용 장비 수리,공산품,544,8
제주권,제주,D,"전력, 가스 및 증기",서비스,545,9
제주권,제주,E,"수도, 폐기물처리 및 재활용서비스",서비스,546,9
제주권,제주,F,건설,서비스,547,9
제주권,제주,G,도소매 및 상품중개서비스,서비스,548,9
제주권,제주,H,운송서비스,서비스,549,9
제주권,제주,I,음식점 및 숙박서비스,서비스,550,9
제주권,제주,J,정보통신 및 방송 서비스,서비스,551,9
제주권,제주,K,금융 및 보험 서비스,서비스,552,9
제주권,제주,L,부동산서비스,서비스,553,9
제주권,제주,M,"전문, 과학 및 기술 서비스",서비스,554,9
제주권,제주,N,사업지원서비스,서비스,555,9
제주권,제주,O,"공공행정, 국방 및 사회보장",서비스,556,9
제주권,제주,P,교육서비스,서비스,557,9
제주권,제주,Q,보건 및 사회복지 서비스,서비스,558,9
제주권,제주,R,"예술, 스포츠 및 여가 관련 서비스",서비스,559,9
제주권,제주,S,기타 서비스,서비스,560,9
제주권,제주,T,기타,서비스,561,9
수입계,수입계,A,농림수산품,농산품,562,10
수입계,수입계,B,광산품,공산품,563,11
수입계,수입계,C01,음식료품,공산품,564,11
수입계,수입계,C02,섬유 및 가죽제품,공산품,565,11
수입계,수입계,C03,"목재 및 종이, 인쇄",공산품,566,11
수입계,수입계,C04,석탄 및 석유제품,공산품,567,11
수입계,수입계,C05,화학제품,공산품,568,11
수입계,수입계,C06,비금속광물제품,공산품,569,11
수입계,수입계,C07,1차 금속제품,공산품,570,11
수입계,수입계,C08,금속가공제품,공산품,571,11
수입계,수입계,C09,"컴퓨터, 전자 및 광학기기",공산품,572,11
수입계,수입계,C10,전기장비,공산품,573,11
수입계,수입계,C11,기계 및 장비,공산품,574,11
수입계,수입계,C12,운송장비,공산품,575,11
수입계,수입계,C13,기타 제조업 제품,공산품,576,11
수입계,수입계,C14,제조임가공 및 산업용 장비 수리,공산품,577,11
수입계,수입계,D,"전력, 가스 및 증기",서비스,578,12
수입계,수입계,E,"수도, 폐기물처리 및 재활용서비스",서비스,579,12
수입계,수입계,F,건설,서비스,580,12
수입계,수입계,G,도소매 및 상품중개서비스,서비스,581,12
수입계,수입계,H,운송서비스,서비스,582,12
수입계,수입계,I,음식점 및 숙박서비스,서비스,583,12
수입계,수입계,J,정보통신 및 방송 서비스,서비스,584,12
수입계,수입계,K,금융 및 보험 서비스,서비스,585,12
수입계,수입계,L,부동산서비스,서비스,586,12
수입계,수입계,M,"전문, 과학 및 기술 서비스",서비스,587,12
수입계,수입계,N,사업지원서비스,서비스,588,12
수입계,수입계,O,"공공행정, 국방 및 사회보장",서비스,589,12
수입계,수입계,P,교육서비스,서비스,590,12
수입계,수입계,Q,보건 및 사회복지 서비스,서비스,591,12
수입계,수입계,R,"예술, 스포츠 및 여가 관련 서비스",서비스,592,12
수입계,수입계,S,기타 서비스,서비스,593,12
수입계,수입계,T,기타,서비스,594,12
