권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
충청권,대전,A,농림수산품,농산품,100,7
충청권,대전,B,광산품,공산품,101,8
충청권,대전,C01,음식료품,공산품,102,8
충청권,대전,C02,섬유 및 가죽제품,공산품,103,8
충청권,대전,C03,"목재 및 종이, 인쇄",공산품,104,8
충청권,대전,C04,석탄 및 석유제품,공산품,105,8
충청권,대전,C05,화학제품,공산품,106,8
충청권,대전,C06,비금속광물제품,공산품,107,8
충청권,대전,C07,1차 금속제품,공산품,108,8
충청권,대전,C08,금속가공제품,공산품,109,8
충청권,대전,C09,"컴퓨터, 전자 및 광학기기",공산품,110,8
충청권,대전,C10,전기장비,공산품,111,8
충청권,대전,C11,기계 및 장비,공산품,112,8
충청권,대전,C12,운송장비,공산품,113,8
충청권,대전,C13,기타 제조업 제품,공산품,114,8
충청권,대전,C14,제조임가공 및 산업용 장비 수리,공산품,115,8
충청권,대전,D,"전력, 가스 및 증기",서비스,116,9
충청권,대전,E,"수도, 폐기물처리 및 재활용서비스",서비스,117,9
충청권,대전,F,건설,서비스,118,9
충청권,대전,G,도소매 및 상품중개서비스,서비스,119,9
충청권,대전,H,운송서비스,서비스,120,9
충청권,대전,I,음식점 및 숙박서비스,서비스,121,9
충청권,대전,J,정보통신 및 방송 서비스,서비스,122,9
충청권,대전,K,금융 및 보험 서비스,서비스,123,9
충청권,대전,L,부동산서비스,서비스,124,9
충청권,대전,M,"전문, 과학 및 기술 서비스",서비스,125,9
충청권,대전,N,사업지원서비스,서비스,126,9
충청권,대전,O,"공공행정, 국방 및 사회보장",서비스,127,9
충청권,대전,P,교육서비스,서비스,128,9
충청권,대전,Q,보건 및 사회복지 서비스,서비스,129,9
충청권,대전,R,"예술, 스포츠 및 여가 관련 서비스",서비스,130,9
충청권,대전,S,기타 서비스,서비스,131,9
충청권,대전,T,기타,서비스,132,9
충청권,세종,A,농림수산품,농산품,133,7
충청권,세종,B,광산품,공산품,134,8
충청권,세종,C01,음식료품,공산품,135,8
충청권,세종,C02,섬유 및 가죽제품,공산품,136,8
충청권,세종,C03,"목재 및 종이, 인쇄",공산품,137,8
충청권,세종,C04,석탄 및 석유제품,공산품,138,8
충청권,세종,C05,화학제품,공산품,139,8
충청권,세종,C06,비금속광물제품,공산품,140,8
충청권,세종,C07,1차 금속제품,공산품,141,8
충청권,세종,C08,금속가공제품,공산품,142,8
충청권,세종,C09,"컴퓨터, 전자 및 광학기기",공산품,143,8
충청권,세종,C10,전기장비,공산품,144,8
충청권,세종,C11,기계 및 장비,공산품,145,8
충청권,세종,C12,운송장비,공산품,146,8
충청권,세종,C13,기타 제조업 제품,공산품,147,8
충청권,세종,C14,제조임가공 및 산업용 장비 수리,공산품,148,8
충청권,세종,D,"전력, 가스 및 증기",서비스,149,9
충청권,세종,E,"수도, 폐기물처리 및 재활용서비스",서비스,150,9
충청권,세종,F,건설,서비스,151,9
충청권,세종,G,도소매 및 상품중개서비스,서비스,152,9
충청권,세종,H,운송서비스,서비스,153,9
충청권,세종,I,음식점 및 숙박서비스,서비스,154,9
충청권,세종,J,정보통신 및 방송 서비스,서비스,155,9
충청권,세종,K,금융 및 보험 서비스,서비스,156,9
충청권,세종,L,부동산서비스,서비스,157,9
충청권,세종,M,"전문, 과학 및 기술 서비스",서비스,158,9
충청권,세종,N,사업지원서비스,서비스,159,9
충청권,세종,O,"공공행정, 국방 및 사회보장",서비스,160,9
충청권,세종,P,교육서비스,서비스,161,9
충청권,세종,Q,보건 및 사회복지 서비스,서비스,162,9
충청권,세종,R,"예술, 스포츠 및 여가 관련 서비스",서비스,163,9
충청권,세종,S,기타 서비스,서비스,164,9
충청권,세종,T,기타,서비스,165,9
충청권,충북,A,농림수산품,농산품,166,7
충청권,충북,B,광산품,공산품,167,8
충청권,충북,C01,음식료품,공산품,168,8
충청권,충북,C02,섬유 및 가죽제품,공산품,169,8
충청권,충북,C03,"목재 및 종이, 인쇄",공산품,170,8
충청권,충북,C04,석탄 및 석유제품,공산품,171,8
충청권,충북,C05,화학제품,공산품,172,8
충청권,충북,C06,비금속광물제품,공산품,173,8
충청권,충북,C07,1차 금속제품,공산품,174,8
충청권,충북,C08,금속가공제품,공산품,175,8
