cons,old,new
BLR_C27,288,11
BLR_C28,289,11
BLR_C29,290,11
BLR_C30,291,11
BLR_C31T33,292,11
BLR_D,293,12
BLR_E,294,12
BLR_F,295,12
BLR_G,296,12
BLR_H49,297,12
BLR_H50,298,12
BLR_H51,299,12
BLR_H52,300,12
BLR_H53,301,12
BLR_I,302,12
BLR_J58T60,303,12
BLR_J61,304,12
BLR_J62_63,305,12
BLR_K,306,12
BLR_L,307,12
BLR_M,308,12
BLR_N,309,12
BLR_O,310,12
BLR_P,311,12
BLR_Q,312,12
BLR_R,313,12
BLR_S,314,12
BLR_T,315,12
BRA_A01_02,316,10
BRA_A03,317,10
BRA_B05_06,318,11
BRA_B07_08,319,11
BRA_B09,320,11
BRA_C10T12,321,11
BRA_C13T15,322,11
BRA_C16,323,11
BRA_C17_18,324,11
BRA_C19,325,11
BRA_C20,326,11
BRA_C21,327,11
BRA_C22,328,11
BRA_C23,329,11
BRA_C24,330,11
BRA_C25,331,11
BRA_C26,332,11
BRA_C27,333,11
BRA_C28,334,11
BRA_C29,335,11
BRA_C30,336,11
BRA_C31T33,337,11
BRA_D,338,12
BRA_E,339,12
BRA_F,340,12
BRA_G,341,12
BRA_H49,342,12
BRA_H50,343,12
BRA_H51,344,12
BRA_H52,345,12
BRA_H53,346,12
BRA_I,347,12
BRA_J58T60,348,12
BRA_J61,349,12
BRA_J62_63,350,12
BRA_K,351,12
BRA_L,352,12
BRA_M,353,12
BRA_N,354,12
BRA_O,355,12
BRA_P,356,12
BRA_Q,357,12
BRA_R,358,12
BRA_S,359,12
BRA_T,360,12
BRN_A01_02,361,10
BRN_A03,362,10
BRN_B05_06,363,11
BRN_B07_08,364,11
BRN_B09,365,11
BRN_C10T12,366,11
BRN_C13T15,367,11
BRN_C16,368,11
BRN_C17_18,369,11
BRN_C19,370,11
BRN_C20,371,11
BRN_C21,372,11
BRN_C22,373,11
BRN_C23,374,11
BRN_C24,375,11
BRN_C25,376,11
BRN_C26,377,11
BRN_C27,378,11
BRN_C28,379,11
BRN_C29,380,11
BRN_C30,381,11
BRN_C31T33,382,11
BRN_D,383,12
BRN_E,384,12
BRN_F,385,12
BRN_G,386,12
BRN_H49,387,12
BRN_H50,388,12
BRN_H51,389,12
BRN_H52,390,12
BRN_H53,391,12
BRN_I,392,12
BRN_J58T60,393,12
BRN_J61,394,12
BRN_J62_63,395,12
BRN_K,396,12
BRN_L,397,12
BRN_M,398,12
BRN_N,399,12
BRN_O,400,12
BRN_P,401,12
BRN_Q,402,12
BRN_R,403,12
BRN_S,404,12
BRN_T,405,12
CAN_A01_02,406,10
CAN_A03,407,10
CAN_B05_06,408,11
CAN_B07_08,409,11
CAN_B09,410,11
CAN_C10T12,411,11
CAN_C13T15,412,11
CAN_C16,413,11
CAN_C17_18,414,11
CAN_C19,415,11
CAN_C20,416,11
CAN_C21,417,11
CAN_C22,418,11
CAN_C23,419,11
CAN_C24,420,11
CAN_C25,421,11
CAN_C26,422,11
CAN_C27,423,11
CAN_C28,424,11
CAN_C29,425,11
CAN_C30,426,11
CAN_C31T33,427,11
CAN_D,428,12
CAN_E,429,12
CAN_F,430,12
CAN_G,431,12
CAN_H49,432,12
CAN_H50,433,12
CAN_H51,434,12
CAN_H52,435,12
CAN_H53,436,12
CAN_I,437,12
CAN_J58T60,438,12
CAN_J61,439,12
CAN_J62_63,440,12
CAN_K,441,12
CAN_L,442,12
CAN_M,443,12
CAN_N,444,12
CAN_O,445,12
CAN_P,446,12
CAN_Q,447,12
CAN_R,448,12
CAN_S,449,12
CAN_T,450,12
CHE_A01_02,451,10
CHE_A03,452,10
CHE_B05_06,453,11
CHE_B07_08,454,11
CHE_B09,455,11
CHE_C10T12,456,11
CHE_C13T15,457,11
CHE_C16,458,11
CHE_C17_18,459,11
CHE_C19,460,11
CHE_C20,461,11
CHE_C21,462,11
CHE_C22,463,11
CHE_C23,464,11
CHE_C24,465,11
CHE_C25,466,11
CHE_C26,467,11
CHE_C27,468,11
CHE_C28,469,11
CHE_C29,470,11
CHE_C30,471,11
CHE_C31T33,472,11
CHE_D,473,12
CHE_E,474,12
CHE_F,475,12
CHE_G,476,12
CHE_H49,477,12
CHE_H50,478,12
CHE_H51,479,12
CHE_H52,480,12
CHE_H53,481,12
CHE_I,482,12
CHE_J58T60,483,12
CHE_J61,484,12
CHE_J62_63,485,12
CHE_K,486,12
CHE_L,487,12
CHE_M,488,12
CHE_N,489,12
CHE_O,490,12
CHE_P,491,12
CHE_Q,492,12
CHE_R,493,12
CHE_S,494,12
CHE_T,495,12
CHL_A01_02,496,10
CHL_A03,497,10
CHL_B05_06,498,11
CHL_B07_08,499,11
CHL_B09,500,11
CHL_C10T12,501,11
CHL_C13T15,502,11
CHL_C16,503,11
CHL_C17_18,504,11
CHL_C19,505,11
CHL_C20,506,11
CHL_C21,507,11
CHL_C22,508,11
CHL_C23,509,11
CHL_C24,510,11
CHL_C25,511,11
CHL_C26,512,11
CHL_C27,513,11
CHL_C28,514,11
CHL_C29,515,11
CHL_C30,516,11
CHL_C31T33,517,11
CHL_D,518,12
CHL_E,519,12
CHL_F,520,12
CHL_G,521,12
CHL_H49,522,12
CHL_H50,523,12
CHL_H51,524,12
CHL_H52,525,12
CHL_H53,526,12
CHL_I,527,12
CHL_J58T60,528,12
