,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,0.0,7.0,1.0,8.0,3.0,1.0,0.0,4.0,12.0
공산품,1.0,356.0,79.0,436.0,75.0,61.0,5.0,141.0,577.0
서비스,0.0,14.0,49.0,63.0,35.0,7.0,0.0,42.0,105.0
중간투입계,1.0,377.0,129.0,507.0,113.0,69.0,5.0,187.0,694.0
