,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,0.415,6.671,0.604,7.69,2.057,0.051,0.0,2.108,9.798
공산품,1.001,262.885,61.198,325.084,38.103,53.763,0.0,91.866,416.95
서비스,0.427,11.179,36.725,48.331,22.121,1.976,0.0,24.096,72.427
중간투입계,1.843,280.735,98.527,381.105,62.281,55.79,0.0,118.07,499.175
