,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,4.0,31.0,10.0,45.0,15.0,-1.0,1.0,15.0,60.0
공산품,15.0,588.0,322.0,925.0,138.0,106.0,623.0,867.0,1792.0
서비스,7.0,243.0,644.0,894.0,997.0,425.0,131.0,1553.0,2447.0
중간투입계,26.0,862.0,976.0,1864.0,1150.0,530.0,755.0,2435.0,4299.0
